Endpoint name,Endpoint type,Number of parameters,Number of input parameters,Number of output parameters,Input parameter names
api_group_data,yoda_api,1,0,1,
api_group_subcategories,yoda_api,1,1,1,category
api_group_update,yoda_api,3,3,1,group_name/property_name/property_value
